分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,长城证券-巨化股份-600160-制冷剂行业进入长景气周期，看好公司行业龙头地位-250624,事件1：2025年4月24日，巨化股份发布2024年年报。公司2024年收入为244.62亿元，同比上升18.43%；归母净利润为19.60亿元，同比上升107.69%；扣非归...,肖亚平,买入,5,2025-06-25,smil******gle,4,2025-06-29 01:10:17,,
投研资讯,中邮证券-广合科技-001389-数字化推动提产增效，经营业绩稳步提升-250625,"投资要点
　　AI推动的下游需求增长将继续拉升高频高速板、HDI板、IC载板等高端PCB需求。得益于AI及汽车电子领域需求保持高位，同时下游消费电子等领域需求亦有改善，2024...",吴文吉,买入（首次）,4,2025-06-25,if***m,4,2025-06-29 01:10:17,,
投研资讯,东吴证券-三花智控-002050-25年半年报预告点评：Q2业绩预告超预期，人形静待量产节奏提速-250625,公司发布25年半年度业绩预告、Q2业绩超市场预期。根据预告，公司25H1营收150.4-177.8亿元，同比+10%~30%，归母净利润18.9-22.7亿元，同比+25%-5...,曾朵红，阮巧燕，谢哲栋,买入,3,2025-06-25,hua****ng,4,2025-06-29 01:10:17,,
投研资讯,华金证券-佳电股份-000922-深度报告：工业特种电机龙头，核电业务进入收获期-250622,"核心观点
　　我国工业特种电机行业摇篮。佳电股份始建于1937年，是国内特种电机领域的核心供应商，依托央企哈电集团背景和技术优势，在核电、防爆电机等高端市场占据重要地位。是国内...",贺朝晖，周涛,买入（首次）,38,2025-06-25,605****58,4,2025-06-29 01:10:17,,
投研资讯,财通证券-歌尔股份-002241-员工持股+大股东增资子公司，彰显长线增长信心-250624,"事件：公司公告“家园8号”员工持股计划（草案）以及公司控股股东/董事长/股东对控股子公司歌尔光学增资计划。
　　员工持股计划促进公司长效发展：公司此前于2025年5月8日公告股...",张益敏,增持,3,2025-06-24,lip****lk,4,2025-06-29 01:10:17,,
投研资讯,中邮证券-中科蓝讯-688332-WiFi芯片加速落地-250624,"投资要点
　　WiFi芯片加速落地。公司坚持“两个连接”的战略路线，在持续深耕蓝牙技术的同时，加大Wi-Fi技术的研究，研发了新一代Wi-Fi+蓝牙Combo射频及ePTA共存...",万玮，吴文吉,买入,4,2025-06-24,heji******725,4,2025-06-29 01:10:17,,
投研资讯,长城证券-新强联-300850-风电传动链集成释放TRB需求，公司产能释放共振行业回暖-250624,风电行业景气回暖，风机传动链可靠性成为重中之重。2025年风电行业延续回暖态势，国内新增装机量持续攀升。海上风电项目取得显著突破，为产业链注入新动力；政策端“以大代小”改造与“...,王泽雷，于夕朦,增持（首次）,52,2025-06-24,ljl****lj,5,2025-06-29 01:10:19,,
投研资讯,天风证券-万达电影-002739-“超级娱乐空间”战略深化，业务协同赋能非票收入-250624,事件：6月16日，万达电影在上海举办2025「超级娱乐空间」战略发布会。董事长陈祉希正式提出并深化“1+2+5”全新战略版图，即以“超级娱乐空间”为核心，聚焦国内国际两大市场，...,孔蓉，曹睿,买入,3,2025-06-24,dra****ng,5,2025-06-29 01:10:19,,
投研资讯,海通国际-今世缘-603369-跟踪报告：精细管理，迎难而上-250624,"事件：公司近期召开2024年股东大会，会上公司主要对行业形势判断及产品与市场策略进行交流。
　　央媒纠偏政策导向，产业信心有所恢复。当前白酒行业处于“政策调整、消费结构转型、存...",闻宏伟，吴岱禹,优于大市,12,2025-06-24,小丸***力,5,2025-06-29 01:10:19,,
投研资讯,国信证券-京东方A-000725-拟收购彩虹光电30%股权，面板行业竞争格局优化-250624,"事项：
　　6月17日，公司发布关于拟收购咸阳彩虹光电科技有限公司部分股权的自愿性信息披露公告，拟收购彩虹显示器件股份有限公司拟出售所持咸阳彩虹光电科技有限公司30%的股权，挂...",胡剑，胡慧，叶子,优于大市,6,2025-06-24,yka****23,5,2025-06-29 01:10:19,,
投研资讯,华鑫证券-东方电热-300217-公司动态研究报告：合作上海织识，进军机器人电子皮肤-250624,"▌聚焦三大业务，2025年整体保持稳健
　　公司是国内最大的空调辅助电加热器制造商、国内前二的新能源汽车PTC电加热器企业、国内唯一量产动力类预镀镍材料的供应商。
　　公司将聚...",张涵,买入（首次）,5,2025-06-24,ljl****70,5,2025-06-29 01:10:19,,
投研资讯,中邮证券-京北方-002987-数字货币先行者，技术卡位优势明显-250624,"金融科技服务领航者，收入规模稳定增长
　　京北方是国内领先的金融科技服务提供商，公司致力于人工智能、大数据、云计算、区块链、隐私计算及数字孪生等前沿科技的探索、实践与创新，为客...",孙业亮，丁子惠,买入（首次）,5,2025-06-24,chua******cai,5,2025-06-29 01:10:19,,
投研资讯,长城证券-三美股份-603379-行业格局向好，公司业绩同比高增，看好公司氟化工产业链一体化布局-250624,事件1：2025年4月28日，三美股份发布2024年年报。公司2024年收入为40.40亿元，同比上升21.17%；归母净利润为7.79亿元，同比上升178.40%；扣非归母净...,肖亚平,买入,5,2025-06-24,ljx****xx,5,2025-06-29 01:10:19,,
投研资讯,天风证券-金禾实业-002597-一季度业绩表现突出，三氯价格低位已翻倍-250624,事件：金禾实业发布2024年年度报告，2024年实现营业收入53.03亿元，同比-0.1%，实现归母净利润5.57亿元，同比-20.9%；其中Q4实现营业收入12.61亿元，同...,郭建奇，唐婕，张峰,买入,3,2025-06-24,so***a,5,2025-06-29 01:10:19,,
投研资讯,长城证券-金风科技-002202-整机龙头盈利改善持续向上，深耕细作两海市场丰收在望-250624,风电整机商龙头强者恒强，穿越周期盈利改善向上。公司作为风电行业整机龙头，国内新增风电装机连续14年排名第一，全球新增风电装机连续三年排名第一。以风机及零部件制造+风电场开发+风...,于夕朦，王泽雷,买入,36,2025-06-24,bon****01,5,2025-06-29 01:10:19,,
投研资讯,华鑫证券-宗申动力-001696-公司动态研究报告：航空动力与新能源双轮驱动，高端制造升级构筑成长基础-250624,"▌低空业务系统集成+国际认证构筑成长双引擎
　　宗申动力子公司宗申航发作为国内稀缺的民营航空发动机高新技术企业，深度卡位旋翼/固定翼通航飞机及无人机动力系统赛道。公司锚定“中国...",尤少炜,买入（首次）,5,2025-06-24,yue****15,5,2025-06-29 01:10:19,,
投研资讯,中邮证券-源杰科技-688498-数据中心CW硅光光源、EML产品加速放量-250624,"投资要点
　　光模块市场快速扩张，拉动CW硅光光源芯片、EML芯片等需求。随着人工智能的快速发展，模型性能提高，需要大量算力，导致对光器件的需求、能力的增加。在这样的背景下，数...",吴文吉,买入,5,2025-06-24,wan****gx,5,2025-06-29 01:10:19,,
投研资讯,群益证券-拓斯达-300607-投身具身智能领域，静待公司业务结构改善-250624,"结论与建议：
　　公司深耕工业机器人、五轴数控机床等设备领域，凭借在高端制造领域的深厚积累，积极投身具身智能赛道，与华为合作推出基于鲲鹏+openEuler的智能机器人控制平台...",赵旭东,买进,3,2025-06-24,闾**林,5,2025-06-29 01:10:19,,
投研资讯,中邮证券-皖新传媒-601801-业绩稳中有增，持续践行高分红-250624,"事件回顾
　　2025年4月12日，公司发布2024年年报，2024年公司实现营业收入107.49亿元，同比减少4.40%；归母净利润7.05亿元，同比减少24.67%；扣非后...",王晓萱,买入,5,2025-06-24,zha****27,5,2025-06-29 01:10:19,,
投研资讯,德邦证券-鼎捷数智-300378-重磅发布AI软基建套件，Agent落地加速时刻-250624,"事件。6月19日，鼎捷数智于武汉举办2025（第四届）数智未来峰会，以“AI创变·破界生长”为主题，重磅发布AI软基建套件，打造AI创新应用成功范式。
　　鼎捷创新研发AI软基...",陈涵泊,买入,3,2025-06-24,362****00,5,2025-06-29 01:10:19,,
投研资讯,光大证券-元力股份-300174-公告点评：2025年度员工持股计划对应回购完成，公司中长期投资价值逐步凸显-250624,事件：2025年6月17日，公司收到中国登记结算有限责任公司深圳分公司出具的《证券过户登记确认书》，2025年员工持股计划已通过非交易过户方式，以14.83元/股的价格受让公司...,王招华，戴默,买入,3,2025-06-24,fyu****iu,5,2025-06-29 01:10:19,,
投研资讯,光大证券-阿科力-603722-公告点评：发布限制性股票激励计划，COC/COP产品即将批量化销售-250624,事件：6月23日晚，公司发布《2025年限制性股票激励计划（草案）》。公司拟向22名激励对象授予限制性股票203万股，激励对象包括公司董事、高级管理人员、核心技术（生产）人员、...,赵乃迪，周家诺,增持,3,2025-06-24,teng******guo,5,2025-06-29 01:10:19,,
投研资讯,开源证券-鼎捷数智-300378-公司信息更新报告：公司举办数智未来峰会，AI赋能打开成长空间-250624,"智能制造领军厂商，维持“买入”评级
　　公司是国内领先的数智化转型与智能制造整合规划方案服务提供商，有望持续受益下游景气复苏和出海机遇，AI打开成长空间，我们维持原有盈利预测，...",陈宝健，李海强,买入,4,2025-06-24,118****00,5,2025-06-29 01:10:19,,
投研资讯,西南证券-百济神州-688235-生物科技出海明星，2025年迎来蝶变-250622,推荐逻辑：1）泽布替尼出海标杆，2024年收入26亿美元(+105%)，预计全球销售额有望持续增长。2）在研Bcl-2i和BTKCDAC于2025年迎来多项催化事件，未来依托泽...,杜向阳，王彦迪,买入（首次）,30,2025-06-24,leo****ls,5,2025-06-29 01:10:19,,
投研资讯,光大证券-芯海科技-688595-跟踪报告之四：下游需求回暖，出货量逐步提升-250624,芯海科技是一家集感知、计算、控制、连接于一体的全信号链芯片设计企业，专注于高精度ADC、高性能MCU、测量算法、物联网一站式解决方案以及AI的研发与设计。公司自从2019年起从...,刘凯，孙啸，黄筱茜,买入,3,2025-06-24,lia****ng,5,2025-06-29 01:10:19,,
投研资讯,民生证券-物产环能-603071-首次覆盖报告：煤炭贸易为基，热电联产扶摇直上-250624,“煤炭贸易+热电联产”双轮驱动。物产环能实际控制人为浙江省国资委，作为国家发改委首批电煤保供重点贸易企业，构建了涵盖煤炭供应链、热电联产与新能源开发的三大业务板块，与国内核心煤...,邓永康，黎静,推荐（首次）,20,2025-06-24,bafe******765,5,2025-06-29 01:10:19,,
最新买入,华鑫证券-伊之密-300415-公司动态研究报告：技术双引擎驱动装备升级，全球化战略稳步推进-250628,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-28
最新买入,天风证券-中粮科技-000930-国内玉米深加工龙头，红利价值随业绩改善凸显-250628,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-28
最新买入,光大证券-游戏行业跟踪研究报告：25M5行业维持较高景气度，展望暑期重点新品密集进展-250627,,,买入,,,,1,2025-06-29 01:10:24,行业分析,2025-06-27
最新买入,开源证券-同力股份-834599-北交所公司深度报告：新能源与无人驾驶技术赋能高毛利新品，矿卡龙头打开增长空间-250624,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,华鑫证券-德马科技-688360-公司事件点评报告：智能物流装备领先企业，机器人业务布局不断完善-250627,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,华鑫证券-美利信-301307-公司动态研究报告：业绩短期承压，多轮驱动中长期成长-250627,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,光大证券-美好医疗-301363-更新点评：业绩有望逐步改善，期待新业务拓展潜力-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,开源证券-影石创新-688775-公司首次覆盖报告：全景智能影像设备龙头，技术护航+产品创新驱动成长-250627,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,中邮证券-海泰新光-688677-海外库存消化拐点已至，未雨绸缪化解关税风险-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,长城证券-森麒麟-002984-行业景气度提升推动公司全年业绩增长，看好公司品牌力提升与全球化布局-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,天风证券-江河集团-601886-中标多个沙特地标项目，“出海”铸就增长新引擎-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,光大证券-联影医疗-688271-事件点评：股权激励彰显长期发展信心，设备更新有望带来业绩改善-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,华鑫证券-三花智控-002050-公司事件点评报告：主业筑牢基本盘，业绩增长稳健-250627,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,华鑫证券-海力风电-301155-公司动态研究报告：海风建设加速，公司交付有望放量-250627,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,光大证券-计算机行业稳定币专题报告之一：意在重构全球支付体系，稳定币或将成为人民币国际化的链上支点-250627,,,买入,,,,1,2025-06-29 01:10:24,行业分析,2025-06-27
最新买入,中邮证券-鹏鼎控股-002938-卡位AI浪潮，业绩稳健增长-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,国金证券-宁波华翔-002048-剥离欧洲轻装行，布局机器人启新篇-250626,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,山西证券-三花智控-002050-业绩预告靓丽，港股IPO顺利发行-250627,,,买入-A（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,长城证券-永和股份-605020-制冷剂进入长景气周期，关注公司含氟高分子材料及精细化学品布局-250627,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,华安证券-弘景光电-301479-新兴消费电子时代，光学创新大有可为-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,中航证券-小商品城-600415-“六区”招商超预期，跨境金融打造第二增长极-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-27
最新买入,东吴证券-晶盛机电-300316-成功备案60万片8英寸衬底产能，有望受益8英寸衬底产业化-250626,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,中邮证券-裕太微-688515-七大产品线形成框架，研发投入步入收获期-250626,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,国金证券-光伏行业月度跟踪：产业链价格持续承压，抢装高潮后需求转向海外市场-250624,,,买入,,,,1,2025-06-29 01:10:24,行业分析,2025-06-26
最新买入,西南证券-力盛体育-002858-公司回购股份达1%，彰显长期发展信心-250626,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,国联民生证券-稳健医疗-300888-公司深度：品牌向上，医疗+消费高质成长-250626,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,中邮证券-南亚新材-688519-高端产品放量驱动盈利高增，全球化布局深化成长动能-250626,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,东吴证券-浙江荣泰-603119-收购金力传动15%股权，进军微型传动模组领域-250626,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,中邮证券-学大教育-000526-个性化教育稳定增长，多元拓展丰富盈利结构-250626,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,中邮证券-立高食品-300973-产品与渠道深耕驱动增长，成本管控优化盈利-250626,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,开源证券-金诚信-603979-公司首次覆盖报告：矿服资源协同作战，铜矿业务快速成长-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,开源证券-巨人网络-002558-公司首次覆盖报告：IP为盾，锐意创新，老牌游戏龙头再启航-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,天风证券-南极光-300940-技术为擎，驱动广阔成长空间-250626,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,华西证券-康冠科技-001308-智能电视及交互显示业务稳健，创新类显示业务打造新增长极-250626,,,买入（上调）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,华鑫证券-广大特材-688186-公司事件点评报告：半年度业绩预增，齿轮箱零部件和海风铸件增量显著-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-26
最新买入,华福证券-稳健医疗-300888-从韩国卫生巾事件看稳健品牌价值-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,中航证券-中科金财-002657-金融科技主业筑基，AI+区块链双轮驱动-250624,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,华福证券-锡业股份-000960-2024年报&2025一季报点评：24年产量持续攀升，25Q1盈利能力提升-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,东海证券-恒玄科技-688608-公司深度报告：高制程打造长期壁垒，端侧AI布局多条成长路径-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,东吴证券-民生健康-301507-百年同春，福泽民生-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,中邮证券-香农芯创-300475-受益于DDR4涨价分销盈利能力改善，自研企业级存储模组进展顺利-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,华安证券-慕思股份-001323-聚焦床垫主业，引领智慧睡眠趋势-250615,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,东方证券-北摩高科-002985-起落架批产交付，民航刹车市场持续拓展，应收账款问题有望改善-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,中邮证券-工业富联-601138-AI服务器增长强劲-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,群益证券-歌尔股份-002241-AI眼镜新品频出，声光电龙头估值具备吸引力-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,德邦证券-中国石化-600028-业绩环比显著改善，高分红彰显长期价值-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,长城证券-鼎捷数智-300378-未来峰会绘制AI赋能产业新图景-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,长城证券-巨化股份-600160-制冷剂行业进入长景气周期，看好公司行业龙头地位-250624,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,中邮证券-广合科技-001389-数字化推动提产增效，经营业绩稳步提升-250625,,,买入（首次）,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,东吴证券-三花智控-002050-25年半年报预告点评：Q2业绩预告超预期，人形静待量产节奏提速-250625,,,买入,,,,1,2025-06-29 01:10:24,公司调研,2025-06-25
最新买入,华金证券-佳电股份-000922-深度报告：工业特种电机龙头，核电业务进入收获期-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-25
最新买入,中邮证券-中科蓝讯-688332-WiFi芯片加速落地-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,天风证券-万达电影-002739-“超级娱乐空间”战略深化，业务协同赋能非票收入-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,华鑫证券-东方电热-300217-公司动态研究报告：合作上海织识，进军机器人电子皮肤-250624,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,中邮证券-京北方-002987-数字货币先行者，技术卡位优势明显-250624,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,光大证券-机械行业海关总署出口月报（十二）：5月向北美地区出口同比降温明显，工程机械品类出口保持高景气度-250624,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-24
最新买入,长城证券-三美股份-603379-行业格局向好，公司业绩同比高增，看好公司氟化工产业链一体化布局-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,天风证券-金禾实业-002597-一季度业绩表现突出，三氯价格低位已翻倍-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,长城证券-金风科技-002202-整机龙头盈利改善持续向上，深耕细作两海市场丰收在望-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,华鑫证券-宗申动力-001696-公司动态研究报告：航空动力与新能源双轮驱动，高端制造升级构筑成长基础-250624,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,中邮证券-源杰科技-688498-数据中心CW硅光光源、EML产品加速放量-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,光大证券-工程机械行业2025年5月月报：5月挖掘机内销短期承压，国际化趋势支撑整体销量持续增长-250624,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-24
最新买入,中邮证券-皖新传媒-601801-业绩稳中有增，持续践行高分红-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,德邦证券-鼎捷数智-300378-重磅发布AI软基建套件，Agent落地加速时刻-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,光大证券-元力股份-300174-公告点评：2025年度员工持股计划对应回购完成，公司中长期投资价值逐步凸显-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,开源证券-鼎捷数智-300378-公司信息更新报告：公司举办数智未来峰会，AI赋能打开成长空间-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,西南证券-百济神州-688235-生物科技出海明星，2025年迎来蝶变-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,光大证券-芯海科技-688595-跟踪报告之四：下游需求回暖，出货量逐步提升-250624,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-24
最新买入,国金证券-石油化工行业点评：中东伊以冲突持续升温，霍尔木兹海峡对原油市场影响巨大-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-24
最新买入,东吴证券-厦钨新能-688778-核心业务稳步增长，硫化锂打造固态电池核心壁垒-250623,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-23
最新买入,光大证券-机械行业周报2025年第25周：Optimus机器人将迎重大改进，叉车5月内外销增速表现亮眼-250623,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-23
最新买入,国投证券-鼎捷数智-300378-举办数智未来峰会，多款AI套件发布-250623,,,买入-A,,,,2,2025-06-29 01:10:25,公司调研,2025-06-23
最新买入,华西证券-山外山-688410-国产血净设备龙头，全产业链布局驱动增长-250620,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-23
最新买入,国元证券-锡业股份-000960-事件点评：锡冶炼核心技术新突破，公司利润端有望持续增厚-250623,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-23
最新买入,国金证券-氢能与燃料电池行业研究月报：5月燃料电池汽车产销承压，国家能源局开展氢能试点工作-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-23
最新买入,华安证券-泰凌微-688591-全球无线连接一流企业，端侧AI持续发力-250620,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-23
最新买入,中邮证券-南芯科技-688484-推出190V压电驱动芯片，推动移动智能终端散热变革-250622,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,天风证券-倍加洁-603059-内生拓品类，外延赋能成长-250622,,,买入,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,开源证券-众生药业-002317-公司首次覆盖报告：夯实中药根基，创新转型乘风破浪未来可期-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,光大证券-电新公用环保行业周报：持续看好风电整机、固态电池板块，关注光伏“防内卷”后续政策-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,华鑫证券-澳弘电子-605058-公司动态研究报告：任天堂Swtich 2销量超预期，AI算力催动高端PCB需求-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,国金证券-轻工造纸行业周报：重视新型烟草回调布局机遇，持续推荐潮玩龙头-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-商贸零售行业周报：永辉进入规模化调改阶段，618电商全域协同趋势明显-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-医药健康行业周报：积极把握创新药调整机会-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-农林牧渔行业周报：出栏体重下降，重视生猪板块投资机会-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-信息技术产业行业周报：AI眼镜新品迭出，ASIC渗透提速推升PCB、光模块用量-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-纺织品和服装行业周报：618国牌美护表现亮眼；伯希和拟上市有望提振户外板块情绪-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-计算机行业周报：MiniMax开源MiniMax~M1，Midjourney发布视频生成模型V1-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-传媒互联网产业行业周报：法律框架逐步完善，虚拟资产趋势向上-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-非金属建材行业周观点：继续推荐AI电子布和非洲建材，关注珠光颜料携手涂料龙头战略合作-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-非银行金融行业周报：证监会推一揽子深化科创改革举措，创投行业有望受益-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-机械行业周报：看好核聚变、海洋经济及叉车-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-家电行业周报：国补接续确定，资金将于7月、10月分批下达-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-纺织品和服装行业研究周报：618国牌美护表现亮眼；伯希和拟上市有望提振户外板块情绪-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,中邮证券-北化股份-002246-硝化棉需求增长供给收缩，公司业绩拐点确立-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,光大证券-农林牧渔行业周报：“618”战报出炉，宠物消费同比高增-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,东吴证券-海天瑞声-688787-AI数据领军企业，全球化布局打造第二成长曲线-250622,,,买入（首次）,,,,2,2025-06-29 01:10:25,公司调研,2025-06-22
最新买入,国金证券-具身智能行业周报：华为发布CloudRobo具身智能平台，Robotaxi板块持续催化-250621,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-交通运输产业行业周报：顺丰业务量增速领跑，油运景气加速向上-250621,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,国金证券-电力设备与新能源行业周报：江苏海风项目加速推进，固态电池产业化持续迈进，关注整车复苏-250622,,,买入,,,,2,2025-06-29 01:10:25,行业分析,2025-06-22
最新买入,东吴证券-天士力-600535-中药现代化领军企业，华润入主，厚积薄发-250622,,,买入（首次）,,,,3,2025-06-29 01:10:27,公司调研,2025-06-22
最新买入,光大证券-批发和零售贸易行业2025年“618”数据点评：大促平稳收官，即时零售热度抬升-250622,,,买入,,,,3,2025-06-29 01:10:27,行业分析,2025-06-22
最新买入,华金证券-恺英网络-002517-出海表现优异，多款新品助力矩阵完善-250620,,,买入,,,,3,2025-06-29 01:10:27,公司调研,2025-06-22
最新买入,开源证券-富士达-835640-北交所公司深度报告：深耕国内射频连接器，技术领先+航天突破+产能释放驱动新成长构筑三维优势-250621,,,买入,,,,3,2025-06-29 01:10:27,公司调研,2025-06-22
最新买入,天风证券-金风科技-002202-风机制造与风场运营双轮驱动，风机制造盈利迎来拐点-250622,,,买入（首次）,,,,3,2025-06-29 01:10:27,公司调研,2025-06-22
